name	short	t0set	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	u
setAIT021	Lib Nod +N	7/13/2022 SmeliPlant	21	24843961	234	22437678	22437667	2	6797	4335.78106280193	0.233248392519632	1.2688209453008	1	1.54113933834922	0.270284484539863	0.218042749291609	0.122295102529559	13.8655280125493	FALSE
setAIT022	Lib Nod +N	7/13/2022 SmeliPlant	22	14461145	148	9563592	9563592	1	6797	1848.03710144928	0.218609006173355	1.25665688444366	1	1.54113933834922	0.26883539484138	0.222798994302621	0.127804120401959	8.17331651280281	FALSE
setAIT023	Lib Nod +N	7/13/2022 SmeliPlant	23	508675	2080	248783	248777	0	6797	48.0728502415459	0.227313255675885	1.29542397734991	0	1.54113933834922	0.262414502450408	0.208583005152678	0.134270996388269	11.3746030559885	FALSE
setAIT024	Lib Nod +N	7/13/2022 SmeliPlant	24	8718941	372	6740501	6740500	0	6797	1302.51207729469	0.210949587711224	1.32007450159156	0.263034405833794	1.54113933834922	0.269724706995492	0.209999590126451	0.133496183288524	14.413327422493	FALSE
setAIT026	Lib Nod --	7/13/2022 SmeliPlant	26	26921788	824	23820519	23820504	2	6797	4602.99594202899	0.234598841111529	1.26075099378758	1	1.54113933834922	0.2784934979757	0.224162163289631	0.12772091686779	8.55022613466238	FALSE
setAIT027	Lib Nod --	7/13/2022 SmeliPlant	27	17265520	220	11438980	11438978	1	6797	2210.43053140097	0.172157064725989	1.15130655439509	1	1.54113933834922	0.293927576856136	0.210428561600412	0.14706800430314	11.1408182406819	FALSE
setAIT028	Lib Nod --	7/13/2022 SmeliPlant	28	16840721	20238	13659296	13659294	1	6797	2639.47710144928	0.225022355578804	1.30295716128767	1	1.54113933834922	0.267219051087686	0.203263646572731	0.121451368334663	11.1397099316404	FALSE
setAIT029	Lib Nod --	7/13/2022 SmeliPlant	29	5891462	75	1745210	1745115	0	6797	337.220289855072	0.213294872404964	1.3247706675125	0	1.54113933834922	0.260095605621231	0.210259427262322	0.121363367404259	14.8232435182418	FALSE
setAIT030	Lib Nod --	7/13/2022 SmeliPlant	30	8827847	120	7432120	7432092	0	6797	1436.15304347826	0.215478564294748	1.30465489408536	0.415037499278844	1.54113933834922	0.262542764820535	0.219229794502737	0.117809092860675	10.7009748225161	FALSE
setAIT031	Lib Bact +N	7/13/2022 SmeliPlant	31	974392	21	895355	895355	0	6797	173.015458937198	0.223881454933972	1.30585427605051	0	1.54113933834922	0.264273409305139	0.21184405430511	0.127573249229784	9.48365924568419	FALSE
setAIT032	Lib Bact +N	7/13/2022 SmeliPlant	32	12510461	172	9678462	9678460	1	6797	1870.23381642512	0.210941825367668	1.2543772402969	1	1.54113933834922	0.27195107800741	0.220917051065501	0.125623581370927	7.94274538373142	FALSE
setAIT033	Lib Bact +N	7/13/2022 SmeliPlant	33	6563448	10292	1984309	1984252	1	6797	383.430338164251	0.205772988807901	1.26709118310321	1	1.54113933834922	0.247833112833204	0.212116232083307	0.124907458727081	11.9564295938216	FALSE
setAIT035	Lib Bact +N	7/13/2022 SmeliPlant	35	369726	41	260890	260887	0	6797	50.4129468599034	0.205934416609255	1.27264103158507	0	1.54113933834922	0.259249188057523	0.195729485278598	0.128947718377279	7.87894310126761	FALSE
setAIT037	Lib Bact --	7/13/2022 SmeliPlant	37	13579558	244	6175240	6175240	2	6797	1193.28309178744	0.174562365920835	1.11264435509164	1	1.54113933834922	0.280459482440299	0.221555120668601	0.144741147249268	12.6926040509171	FALSE
setAIT039	Lib Bact --	7/13/2022 SmeliPlant	39	3220603	2144	260959	260933	14	6797	50.4218357487923	-0.00280315126292272	0.828188114207117	1.39640941444986	1.54113933834922	0.030481111785795	0.0062111879560345	0.0120177934620638	5.47655233366972	FALSE
setAIT040	Lib Bact --	7/13/2022 SmeliPlant	40	19715901	328	16828263	16828216	2	6797	3251.82917874396	0.208534561854234	1.1998955470073	1	1.54113933834922	0.256692400916791	0.2131433125619	0.126762045726247	11.1400404745783	FALSE
setAIT041	Time0	7/13/2022 SmeliPlant	41	23332108	245882	14924057	14922842	1658	5120	2883.64096618358	0.0912641567025581	0.153686133378653	1.50999158666242	1.55556476587342	0.108404112944648	0.156596121548302	-0.041488982059828	1.13223199179196	FALSE
setAIT042	Time0	7/13/2022 SmeliPlant	42	15982274	170963	10209870	10209132	1096	5703	1972.77913043478	0.256178426836529	0.170285916034705	1.51802089668554	1.53933624023657	0.401645045893893	0.298217003611257	-0.149426511226195	1.38806307474278	FALSE
setAIT043	Time0	7/13/2022 SmeliPlant	43	16743117	170980	10703046	10702761	1079	5712	2068.16637681159	0.0766574723772783	0.342398431564194	1.77262482043974	1.51149581187253	0.08959257109166	0.0703006007897925	0.0331805742782594	2.66091529548449	FALSE
setAIT044	Time0	7/13/2022 SmeliPlant	44	18620244	192047	11917036	11916045	1305	5471	2302.61739130435	0.0286440716032039	0.159269399523942	1.55698801084031	1.54051529543275	0.068676722001773	0.070048511901039	0.0277008217885759	1.79183831222802	FALSE
setAIT045	Time0	7/13/2022 SmeliPlant	45	22714882	236377	14542581	14540977	1647	5135	2809.85062801932	0.0684578105034335	0.208144629861686	1.45477547649853	1.56919312151076	0.176186235460729	0.124352006618702	0.0430565904676062	1.46737038319835	FALSE
