"","compartment","Ntreatment","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"setAIT021.Lib.Nod..N","nod","fertilized","SMa2385","SM_b21346","SMc03811","SMc02888","SMc04334","SMc02170","SMc02562","SMc02061","SM_b21348","SMc04280","SMc01616","SMa0643","SMc03247","SM_b20649","SMc02259","SMc01324","SMc02403","SM_b21187","SM_b21054","SM_b20162","SMa0559","SMc02256","SMc02226","SMa0380","SM_b20542","SM_b21323","SM_b20892","SMa0909","SMc02427","SMc03149","SM_b21594","SMc02112","SMc00684","SM_b20093","SMc02444","SMc02400","SMa5007","SMa2402","SMc02258","SMa1276","SMc00185","SM_b21459","SMc03262","SM_b21648","SMa0985","SMc02057","SMa0300","SM_b20962","SMc01575","SMc04384"
"setAIT022.Lib.Nod..N","nod","fertilized","SMc00110","SMc01641","SMa1750","SMc02317","SMa2213","SM_b20748","SM_b21331","SMa0426","SMa1885","SM_b20826","SMc00088","SMc01758","SM_b21028","SMc02049","SMc00827","SMa1497","SMa2139","SMc02351","SMc03198","SMa1635","SMa1339","SM_b21596","SMa1465","SM_b20814","SM_b22020","SM_b20360","SMc01629","SMc03795","SMc00094","SMa0300","SM_b21190","SMc01583","SMa0864","SMc01578","SM_b20946","SMc00039","SMa1491","SMc03016","SMc00140","SMa1264","SM_b20650","SMc02235","SMa1209","SMa0853","SMc02253","SMc02250","SM_b20562","SM_b21431","SMc00539","SMc01498"
"setAIT023.Lib.Nod..N","nod","fertilized","SM_b20213","SMc01135","SMc01594","SMa1373","SMc02849","SMa2113","SMc00144","SMc00885","SM_b20921","SMc02018","SMc01464","SM_b21271","SMa1961","SMc01170","SMc02266","SMa5014","SM_b20826","SMc02988","SMc04141","SM_b20185","SMa0514","SMc02689","SM_b21220","SMa1476","SM_b21298","SMc01257","SM_b20322","SMc00671","SM_b20410","SMc04324","SMc02755","SMc00093","SMc00922","SMc01782","SMc03174","SMc00664","SMc00114","SMc00504","SMc02111","SMc03251","SMa1306","SMc01919","SM_b21037","SMc02275","SMa1209","SM_b20872","SMc01972","SMc02019","SMa0710","SMc00621"
"setAIT024.Lib.Nod..N","nod","fertilized","SMc01541","SM_b20005","SMa2197","SMa0039","SMc03043","SMc00664","SMc01641","SMc00771","SMa2321","SMa0707","SM_b20213","SMa0235","SMa1438","SMc02975","SMc00676","SMc04091","SM_b21043","SMc00430","SM_b21106","SM_b20175","SMc01799","SMc01583","SM_b21561","SM_b21418","SMa1233","SM_b21543","SMc02351","SMa1306","SMc04359","SMa0853","SMa1885","SMc02554","SM_b22003","SMc00110","SM_b21029","SMc03207","SMc02253","SMc01052","SMa0886","SM_b21470","SMc01562","SM_b20980","SM_b20913","SM_b20971","SMc03834","SMc02217","SM_b20407","SMc02730","SM_b20497","SM_b20134"
"setAIT026.Lib.Nod...","nod","ambient","SMc00895","SMa0878","SM_b20817","SM_b21655","SMc03043","SMa0288","SMa5000","SM_b20226","SMc02158","SMa5020","SMa0105","SM_b20718","SM_b21029","SMa0407","SMc02648","SMc01657","SM_b20174","SMc03979","SMc01919","SM_b20548","SM_b20013","SM_b20467","SMa1894","SMa1696","SMc02079","SMa5022","SMc02071","SMa0734","SMc02049","SMc01712","SM_b20048","SMc01703","SMa1650","SM_b21579","SM_b20631","SM_b20570","SMc00459","SMa1226","SMa0886","SMa0233","SMc00827","SMc03208","SMc00709","SMc00490","SM_b20367","SMc02827","SM_b21341","SMa1253","SMc03834","SMa2412"
"setAIT027.Lib.Nod...","nod","ambient","SM_b20834","SMc02170","SMc01916","SMc04435","SMc04230","SMc02275","SM_b20415","SMc01006","SMc01729","SMc03160","SMa0876","SMc03797","SMc00615","SM_b21434","SMc00820","SMc00858","SM_b20328","SM_b21603","SM_b21226","SMc00959","SMc01496","SMc02244","SMa0841","SMc00163","SMc00109","SMc01491","SMc03251","SMc01499","SMa0794","SMc04314","SMa2139","SMa0742","SMa1814","SMa2113","SMa1467","SMa2165","SMc02684","SM_b20848","SMc03813","SM_b20277","SMc03021","SMc04173","SM_b21235","SMc02417","SM_b20815","SMc01594","SMa1021","SMa2111","SMc02387","SMc04000"
"setAIT028.Lib.Nod...","nod","ambient","SMa2249","SM_b21644","SM_b21295","SMa1957","SMc01256","SMc00792","SMc02784","SM_b21123","SMa1262","SM_b21499","SMc01439","SMc02497","SM_b21492","SM_b20892","SM_b21447","SMc00176","SM_b21345","SMc04008","SMc02103","SMc01036","SM_b20247","SMc04280","SM_b20390","SMc03062","SM_b21323","SM_b20219","SM_b21290","SM_b21053","SMa0117","SM_b21225","SM_b21433","SM_b21582","SMc04147","SM_b20276","SM_b21257","SM_b20202","SM_b21179","SMc00795","SMc02872","SM_b20145","SM_b20043","SM_b20528","SM_b20399","SMc02360","SMc02733","SMa1916","SMc02201","SMc00482","SMc02303","SM_b20394"
"setAIT029.Lib.Nod...","nod","ambient","SM_b20467","SMa1683","SMc00990","SMa1062","SMa0322","SMa1431","SMc03207","SM_b20704","SMa0850","SMc01717","SMa0559","SM_b20613","SM_b21361","SM_b20078","SMc01641","SMc01578","SMc00885","SMc03796","SMc00088","SM_b21540","SM_b20812","SM_b21564","SMc03021","SMc00041","SMa0233","SMc00709","SMc03979","SMc02351","SMc01797","SMa0136","SMc01799","SM_b20015","SMc02799","SMc03176","SMc03935","SMa0130","SM_b20473","SM_b21349","SM_b21298","SM_b20719","SMc01565","SM_b20536","SMc02359","SMc04359","SM_b21351","SMc00156","SMa1548","SM_b20064","SMc02755","SMc00771"
"setAIT030.Lib.Nod...","nod","ambient","SMa2139","SM_b20840","SM_b20984","SMa1592","SMc01052","SMc03043","SM_b20064","SM_b20658","SMc03922","SM_b20278","SMa0734","SMc02253","SM_b21509","SMc00621","SM_b21581","SMa1194","SM_b20515","SMc00883","SMc03178","SMc04319","SM_b21357","SM_b20080","SMa0039","SMc02351","SMa0664","SMa5000","SM_b20413","SMc02250","SM_b21578","SM_b20441","SMc03024","SM_b20865","SMc02203","SM_b21350","SMa1459","SMc02079","SMa1501","SMa1253","SMc00110","SMa1766","SMa1476","SMc01170","SMa1353","SM_b20538","SMc02068","SMc00664","SMa0041","SM_b21126","SMc03262","SM_b20473"
"setAIT031.Lib.Bact..N","bact","fertilized","SM_b21126","SMc01700","SM_b20921","SMc03795","SM_b20071","SMc02689","SMa2410","SMa1894","SMc02111","SMc00539","SM_b21331","SMa0853","SMc01464","SMa1306","SMa1667","SM_b21065","SMc02019","SMc00401","SM_b20681","SM_b21101","SMa1344","SMa0204","SMc00705","SMa2213","SMa0870","SMa1480","SMa1194","SMa1209","SMa1131","SMa1731","SMc00504","SMa2339","SMa1236","SMc01797","SM_b21051","SM_b20826","SM_b21086","SMc04359","SMa2081","SMc02339","SMc02180","SM_b20410","SMc00027","SM_b20078","SMc02051","SMa5013","SMa1948","SMa0958","SMa0863","SMc00110"
