"","compartment","Ntreatment","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"setAIT032.Lib.Bact..N","bact","fertilized","SMa1476","SMa1440","SMc02253","SMa1558","SMa1668","SMa2197","SM_b21261","SM_b20027","SMa0742","SMc03208","SMc02583","SMa1501","SM_b20698","SM_b20826","SM_b21284","SMc04252","SMc01203","SMa1322","SM_b21178","SMc00539","SMc00459","SM_b20948","SMa2404","SMc00089","SMc01799","SMc02217","SMc02495","SMc01760","SMc02579","SMc00144","SMc00594","SM_b20214","SMc00895","SM_b20101","SMc01814","SMa5013","SMc04004","SM_b20594","SMc02822","SM_b20358","SM_b21363","SM_b21244","SMa1541","SMc01730","SMc02250","SM_b21320","SM_b20158","SMa1158","SMc01183","SMc00487"
"setAIT033.Lib.Bact..N","bact","fertilized","SM_b21060","SM_b20064","SMc01425","SMc02881","SM_b21295","SM_b20347","SMa1632","SMc01349","SM_b20826","SMc02332","SMc02339","SM_b20568","SMa5013","SM_b21490","SMc02473","SMc01838","SMc00600","SMc01257","SM_b20222","SMa1884","SMc00456","SMc04136","SMa1600","SMc02877","SM_b21546","SMa1494","SM_b20553","SMc02111","SMc02034","SMa1650","SMc00114","SMc04444","SMc01531","SMc01657","SMa1919","SMa0903","SM_b20704","SMc02053","SMa5021","SMc00144","SM_b20250","SMa1421","SMa2315","SM_b20467","SMc01194","SMc01158","SMc00549","SMc01590","SMa1724","SMc01330"
"setAIT035.Lib.Bact..N","bact","fertilized","SM_b20280","SMc03979","SMa1483","SMc04120","SMc04359","SMa5009","SM_b21488","SM_b20874","SMc04183","SM_b20175","SMa2123","SMa0590","SMa1310","SMa0168","SMc02336","SM_b20594","SMc00388","SMc01464","SMc00114","SMc03795","SMc00922","SM_b20354","SMc03026","SMa0412","SMc04393","SMa1878","SMc04324","SM_b20184","SM_b20936","SMc00771","SMa0852","SM_b20048","SMc01590","SM_b20388","SM_b21652","SMc01415","SMc00764","SM_b20912","SM_b21229","SMa1626","SMa1672","SMc04141","SM_b20658","SM_b20234","SM_b20279","SM_b21271","SMa0713","SMa1696","SMa2103","SMa0734"
"setAIT037.Lib.Bact...","bact","ambient","SMc02170","SMc02427","SMc04004","SM_b20407","SMc04147","SMa0391","SMc00858","SM_b20858","SM_b21680","SMc02514","SMc00098","SM_b20870","SMc00678","SM_b21599","SM_b20453","SMc00178","SMc02873","SMc00410","SMc00242","SM_b21491","SMc02021","SMc03840","SMc02513","SM_b21165","SMc03863","SMa1500","SMc01713","SM_b20036","SM_b21534","SM_b21427","SM_b20274","SMa1943","SMc04334","SMc03206","SMa5022","SMc02272","SMa0754","SMa1976","SMc02321","SMc01540","SM_b21602","SMc02619","SMc00176","SMc00106","SM_b20395","SMc02900","SMa1587","SM_b20946","SMc04257","SMc04037"
"setAIT039.Lib.Bact...","bact","ambient","SMc02039","SMa2251","SMc00347","SMa2147","SM_b21556","SMc02772","SMa1454","SMc01191","SM_b21566","SMc00945","SMc00967","SMa5010","SMa2379","SMc05009","SMc01414","SM_b20713","SM_b20489","SM_b20656","SM_b20940","SMa0499","SMc01668","SM_b20678","SMc03300","SMc04381","SM_b21450","SM_b20339","SMa1236","SM_b20340","SMc03992","SMa0187","SMc03250","SM_b20602","SMa0822","SMc00387","SMc02076","SMc01012","SM_b20125","SMc03937","SMc03787","SMc00804","SMc02467","SM_b21256","SM_b20663","SMa0612","SMa1757","SM_b21070","SMc01740","SM_b20117","SMc00600","SMa1957"
"setAIT040.Lib.Bact...","bact","ambient","SMc01908","SMc03842","SM_b21202","SMa1516","SMa0235","SMc02217","SM_b20024","SMc03979","SM_b20529","SMa2337","SM_b20865","SMc00479","SM_b20756","SMa1626","SMa1918","SMc04000","SM_b20482","SMa2129","SMc01822","SM_b21172","SMc03277","SMa1594","SM_b21229","SMc00144","SMa0796","SM_b21697","SMa5000","SMc01583","SMa1339","SMa1558","SMa0883","SM_b20137","SM_b21331","SMa1410","SM_b20820","SMa0469","SM_b20099","SMc04206","SMa1354","SM_b20212","SMc00165","SMa0636","SM_b20290","SMa0592","SM_b20866","SM_b21190","SMc03262","SMc01266","SMa1001","SMc04034"
"setAIT041.Time0","start","time0","SM_b20581","SMc02512","SMc02521","SMc02141","SMc03016","SMc02726","SM_b20753","SM_b20867","SMc03036","SMa0522","SMc02170","SMa2402","SMa0719","SMa0852","SM_b20769","SMa1592","SM_b20968","SM_b20162","SM_b21025","SM_b21698","SMa2211","SMc00697","SM_b21265","SMc00088","SMc00291","SMc01008","SMa0013","SMa2053","SMc01760","SMa1746","SMc02357","SM_b21484","SMa1120","SMc01780","SM_b20826","SM_b21314","SM_b20468","SMc00402","SMc02633","SMc00858","SMc00244","SMc04324","SMc01423","SM_b20513","SMc01662","SMc01280","SMa2197","SMa1586","SM_b20231","SMc03140"
"setAIT042.Time0","start","time0","SMc04048","SM_b21027","SM_b21109","SMa0104","SM_b20498","SMc00478","SMa0659","SMc00468","SMa0647","SMc01112","SMc00961","SMa1840","SMc00259","SMa0232","SMc04131","SMa1302","SMa1731","SMa2127","SMc03025","SM_b21514","SMc03868","SMa0754","SMc00944","SMa1171","SMa1345","SMc02843","SMc01146","SMc01652","SMc00182","SMc00412","SMc02600","SMa2331","SM_b21537","SMa0387","SMa0134","SMc00817","SMa1519","SMa2329","SM_b20139","SMa2225","SM_b20182","SM_b20871","SMa0513","SMc00799","SM_b21086","SM_b21257","SMa1831","SMa0079","SM_b21669","SM_b20410"
"setAIT043.Time0","start","time0","SMc02633","SMc00495","SM_b22001","SM_b20475","SMc01799","SMa1302","SMc00504","SMa0325","SMa0508","SM_b20139","SM_b21034","SMa2317","SMc00788","SMc01145","SMa2004","SM_b21235","SMa1325","SMc03124","SMc03259","SMa0190","SM_b22004","SM_b20881","SM_b20183","SMc03768","SMc03761","SM_b21054","SM_b21574","SM_b20432","SMc02177","SMc00320","SM_b21027","SMc01659","SM_b20548","SMc01430","SMc03108","SM_b21057","SMc02429","SMc00959","SMc01368","SMa2219","SM_b20082","SMc01132","SMc04306","SMc00620","SM_b20542","SMc01354","SMc00272","SMa0300","SM_b20890","SMa0320"
"setAIT044.Time0","start","time0","SMc03129","SMc00378","SMa1702","SM_b20511","SMc01128","SM_b20702","SM_b20350","SMa1711","SMc02249","SM_b20280","SMc03070","SMc02201","SMc00570","SM_b20101","SM_b20920","SMa0117","SMc01719","SMa1793","SMa0834","SMc04084","SMc00037","SM_b20548","SMc00044","SM_b20272","SMc01583","SMc00831","SMc04252","SMc04143","SMc00193","SMc01204","SMc02490","SMc02045","SMa1629","SMa0604","SMc04292","SMa0175","SM_b21682","SMa1666","SMa1465","SM_b20070","SMc01986","SMc00904","SM_b21598","SMa0945","SM_b20259","SMa5007","SM_b21687","SM_b21113","SMc02419","SMc01759"
"setAIT045.Time0","start","time0","SMa1547","SMa0255","SM_b21665","SMc02068","SMc00341","SM_b20675","SM_b20721","SMc03829","SMc01452","SM_b20760","SMa0448","SM_b20034","SMc00771","SM_b20382","SMc04123","SMc01196","SMa1576","SM_b20486","SMc03139","SMa1647","SM_b20934","SMc00621","SMc01580","SM_b20132","SMc00770","SM_b20634","SMc00795","SMc00719","SMc02841","SMa1007","SMc03972","SMc04109","SM_b20094","SMc04128","SMa1740","SMa1195","SM_b21347","SMc02894","SMc01541","SMa0664","SMc01340","SMa2165","SM_b21201","SMa2385","SM_b21402","SMa1156","SM_b21198","SM_b20178","SM_b21155","SMc04266"
