"","compartment","Ntreatment","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"setAIT021.Lib.Nod..N","nod","fertilized","SMc00535","SM_b21428","SM_b20776","SM_b21265","SM_b21130","SMa0467","SMa1111","SM_b20458","SMc02243","SMc02606","SMc04462","SMa0197","SMa2245","SMc00265","SMc04251","SMc03201","SMc02118","SM_b21434","SMa0299","SM_b21135","SM_b20420","SMa1727","SMa0695","SMc01043","SMa1898","SMa0064","SMc04112","SM_b21150","SM_b21259","SMc01952","SMc01705","SMc02044","SMa1134","SMa2077","SM_b21095","SM_b20824","SMc02228","SM_b20765","SMc02070","SM_b21376","SM_b21398","SMa1857","SM_b20021","SMc03901","SMc03883","SMa1063","SM_b20376","SMc00768","SMa1247","SMc04128"
"setAIT022.Lib.Nod..N","nod","fertilized","SMa0527","SM_b20063","SMa0429","SMa1176","SMc01280","SMc00580","SMa1201","SMc02646","SMc00378","SMa1700","SMc01833","SMc00012","SMc04216","SMc00419","SMc00815","SMc01988","SMc00274","SMc02683","SMc03138","SMc03876","SMa2257","SMc03961","SMc00976","SMc00024","SMc03978","SMc03763","SMc04233","SMc02075","SMc01850","SMc02231","SMc00966","SM_b21205","SMc02143","SMc02147","SM_b21084","SMc00470","SMc00566","SMa0326","SMc03127","SMa0606","SMc03128","SM_b21100","SMc02309","SM_b20882","SMc03066","SMc00010","SMc01135","SMc00736","SM_b20582","SMc00427"
"setAIT023.Lib.Nod..N","nod","fertilized","SMc00656","SM_b20117","SMc02647","SMc04337","SMc01545","SMa0372","SMc04169","SM_b20519","SM_b21411","SMc02559","SMa1176","SMa1201","SMc04340","SMc01280","SMc00580","SMa5019","SMa1700","SMc04339","SMc01956","SMc00378","SMc01281","SMc02646","SM_b20314","SMc04216","SMc01833","SMa0179","SMc00419","SMc02683","SMc00012","SM_b20592","SMc00815","SM_b21532","SMa2257","SM_b20721","SMa0896","SMc03978","SMc02075","SMc01850","SMc03763","SM_b21084","SM_b21100","SMc00976","SMa0876","SMc02147","SMc00566","SMa0326","SMa0606","SM_b20882","SMc00024","SMc03225"
"setAIT024.Lib.Nod..N","nod","fertilized","SM_b20519","SMc04169","SMc04339","SMc04340","SMc04337","SMa0197","SMa1176","SM_b20647","SMc03790","SMc01280","SMa1201","SMc00580","SMa1943","SM_b21000","SMc02646","SMc00378","SMc01833","SMa1700","SMc00012","SMc00965","SMc02490","SMc04216","SMc01418","SMc00419","SMc02683","SMc00815","SMc00948","SMc00976","SMc00024","SMc03978","SMc02075","SMc03763","SMc04143","SMa2257","SMc04233","SM_b21084","SMc01850","SMc00966","SMa0326","SMc02143","SMa0606","SMc02147","SM_b21100","SMc00566","SMc00470","SM_b20882","SM_b20745","SMc03128","SM_b21089","SMc00427"
"setAIT026.Lib.Nod...","nod","ambient","SMc04337","SMc04340","SMc04169","SMa1176","SMc00943","SMc01280","SMa1397","SMa1201","SMc00580","SMc00378","SMc02646","SMa1700","SMc01833","SMc00012","SM_b20181","SMc00419","SMc04216","SMc00815","SMc00148","SMc02683","SMa0267","SMa1160","SMc00976","SMc03978","SMa2257","SM_b21084","SMc02075","SMc04233","SMc03763","SMc01850","SMc02231","SMc00024","SMa0326","SMc00470","SM_b21100","SMc00966","SMa0606","SMc02143","SMc02147","SMc00566","SM_b20882","SMc03128","SM_b20385","SMc00427","SMc03066","SMc02309","SMa1406","SM_b21115","SMa0990","SMa0093"
"setAIT027.Lib.Nod...","nod","ambient","SM_b21218","SM_b21008","SMa0683","SMc01949","SMa0896","SMa1176","SMc01280","SMc00580","SMc01325","SMa0280","SMc00378","SMc02646","SMa1201","SMc01833","SMc00012","SMc00419","SMc04216","SMa1700","SMc00815","SMc02683","SMc00976","SMc00024","SMc03763","SM_b20419","SMc04233","SMc02075","SMc03978","SMc01850","SMc02231","SMa2257","SM_b21084","SMc02143","SMc02147","SMc00470","SMc00966","SMc00566","SM_b21100","SMc00388","SMc03128","SMc00427","SMa0326","SMc03876","SMc03066","SM_b20882","SMc02309","SMc00010","SMc00914","SMc00736","SM_b21444","SMc01709"
"setAIT028.Lib.Nod...","nod","ambient","SMc01625","SM_b20720","SMc01877","SMc02773","SMc01177","SM_b20376","SMc00983","SMc00260","SM_b21205","SMa1864","SM_b20077","SM_b20650","SMc02253","SMc01228","SMc02490","SMa0579","SMc04011","SM_b20557","SMc04152","SMa1156","SMc01755","SMc02987","SMc04386","SM_b20370","SMc01509","SMc02757","SMa0078","SM_b20027","SMc01095","SM_b21186","SMc00733","SM_b20952","SMa0079","SM_b20582","SM_b20853","SMc00081","SMc04316","SM_b21501","SMc04183","SMc02383","SMa1765","SM_b20931","SMc00641","SM_b20505","SM_b21126","SM_b20149","SMc01541","SMc00406","SMa1046","SMc00361"
"setAIT029.Lib.Nod...","nod","ambient","SMc04345","SM_b20691","SM_b21531","SMc01090","SMc01506","SMc03949","SMa1589","SM_b21597","SMc04340","SM_b20009","SMc00524","SMa1176","SM_b20771","SMc00589","SMc01280","SM_b21277","SM_b20546","SMc00580","SMa1201","SMc02646","SM_b20622","SMc00378","SMc01833","SMa1700","SMc02376","SMa0337","SMc00419","SMc00012","SMc04216","SMc02683","SMc02108","SMc00815","SM_b20396","SM_b21000","SMc00024","SMc00966","SM_b20671","SMc00976","SMc03978","SMc01850","SMc03763","SMc02075","SMa2257","SMc03242","SMc01194","SMc02147","SMc02231","SMc02143","SMc00566","SMc04233"
"setAIT030.Lib.Nod...","nod","ambient","SM_b21669","SMc04882","SMa0776","SMc03180","SMc00421","SMa0082","SMc00691","SMc04336","SMa1176","SM_b21382","SM_b20819","SMc01280","SMa1755","SMa1201","SMc00580","SMc03007","SMa1700","SM_b20952","SMc02646","SMc00378","SMc01833","SMa1394","SMc04340","SM_b21673","SMc04216","SMc00012","SMc01116","SMc00419","SMc00815","SMc02683","SMc02846","SMc00024","SMc00976","SMa2257","SMc03978","SMc02075","SMc04233","SMc03763","SMc01850","SMa0326","SMc02231","SMc00966","SM_b21084","SMa0606","SMc02143","SMc02147","SM_b20071","SMc00470","SMc00566","SM_b21100"
"setAIT031.Lib.Bact..N","bact","fertilized","SM_b21511","SM_b20374","SMc03824","SMa1176","SMa1201","SMc01280","SMc00580","SMa1700","SMc04437","SMc02646","SMc00378","SMa1959","SM_b20353","SMc01833","SMc00012","SMc04216","SMa0683","SMc00419","SMc02683","SMc00815","SMa2257","SMc00024","SMc00976","SMc03978","SMc02075","SMc03763","SMc01850","SM_b20349","SMc00566","SMa0606","SM_b21084","SMc02147","SMc04233","SMc00966","SMa0326","SMc04345","SM_b21100","SM_b21598","SMc02143","SMc04169","SMc02231","SM_b20882","SMa2355","SMc00470","SMc03128","SMc00427","SMc02309","SMc00010","SMa1406","SMc03876"
