,orthogroup
386,OG0001676.fa
387,OG0001677.fa
388,OG0001678.fa
389,OG0001679.fa
390,OG0001680.fa
391,OG0001681.fa
392,OG0001682.fa
393,OG0001683.fa
394,OG0001684.fa
395,OG0001685.fa
396,OG0001687.fa
397,OG0001688.fa
398,OG0001691.fa
399,OG0001692.fa
400,OG0001693.fa
401,OG0001694.fa
402,OG0001695.fa
403,OG0001696.fa
404,OG0001697.fa
405,OG0001699.fa
406,OG0001700.fa
407,OG0001701.fa
408,OG0001702.fa
409,OG0001703.fa
410,OG0001704.fa
411,OG0001705.fa
412,OG0001706.fa
413,OG0001707.fa
414,OG0001708.fa
415,OG0001709.fa
416,OG0001710.fa
417,OG0001711.fa
418,OG0001712.fa
419,OG0001713.fa
420,OG0001714.fa
421,OG0001715.fa
422,OG0001719.fa
423,OG0001720.fa
424,OG0001721.fa
425,OG0001722.fa
426,OG0001725.fa
427,OG0001726.fa
428,OG0001727.fa
429,OG0001728.fa
430,OG0001730.fa
431,OG0001731.fa
432,OG0001734.fa
433,OG0001735.fa
434,OG0001736.fa
435,OG0001737.fa
436,OG0001738.fa
437,OG0001739.fa
438,OG0001740.fa
439,OG0001741.fa
440,OG0001742.fa
441,OG0001743.fa
442,OG0001744.fa
443,OG0001745.fa
444,OG0001747.fa
445,OG0001748.fa
446,OG0001749.fa
447,OG0001750.fa
448,OG0001752.fa
449,OG0001755.fa
450,OG0001756.fa
451,OG0001757.fa
452,OG0001758.fa
453,OG0001759.fa
454,OG0001760.fa
455,OG0001761.fa
456,OG0001762.fa
457,OG0001765.fa
458,OG0001766.fa
459,OG0001768.fa
460,OG0001769.fa
461,OG0001770.fa
462,OG0001771.fa
463,OG0001772.fa
464,OG0001773.fa
465,OG0001774.fa
466,OG0001775.fa
467,OG0001776.fa
468,OG0001777.fa
469,OG0001778.fa
470,OG0001779.fa
471,OG0001781.fa
472,OG0001782.fa
473,OG0001783.fa
474,OG0001784.fa
475,OG0001785.fa
476,OG0001786.fa
477,OG0001787.fa
478,OG0001788.fa
479,OG0001789.fa
480,OG0001790.fa
481,OG0001791.fa
482,OG0001792.fa
483,OG0001793.fa
484,OG0001794.fa
485,OG0001795.fa
486,OG0001796.fa
487,OG0001797.fa
488,OG0001798.fa
489,OG0001799.fa
490,OG0001800.fa
491,OG0001801.fa
492,OG0001802.fa
493,OG0001803.fa
494,OG0001804.fa
495,OG0001805.fa
496,OG0001806.fa
497,OG0001807.fa
498,OG0001808.fa
499,OG0001809.fa
500,OG0001810.fa
501,OG0001811.fa
502,OG0001812.fa
503,OG0001813.fa
504,OG0001814.fa
505,OG0001815.fa
506,OG0001816.fa
507,OG0001817.fa
508,OG0001818.fa
509,OG0001819.fa
510,OG0001820.fa
511,OG0001821.fa
512,OG0001823.fa
513,OG0001824.fa
514,OG0001825.fa
515,OG0001826.fa
516,OG0001827.fa
517,OG0001828.fa
518,OG0001829.fa
519,OG0001830.fa
520,OG0001831.fa
521,OG0001832.fa
522,OG0001833.fa
523,OG0001834.fa
524,OG0001835.fa
525,OG0001836.fa
526,OG0001837.fa
527,OG0001838.fa
528,OG0001839.fa
529,OG0001840.fa
530,OG0001841.fa
531,OG0001842.fa
532,OG0001843.fa
533,OG0001844.fa
534,OG0001845.fa
535,OG0001846.fa
536,OG0001847.fa
537,OG0001848.fa
538,OG0001849.fa
539,OG0001850.fa
540,OG0001851.fa
541,OG0001852.fa
542,OG0001853.fa
543,OG0001854.fa
544,OG0001855.fa
545,OG0001856.fa
546,OG0001857.fa
547,OG0001858.fa
548,OG0001859.fa
549,OG0001861.fa
550,OG0001862.fa
551,OG0001863.fa
552,OG0001864.fa
553,OG0001865.fa
554,OG0001866.fa
555,OG0001867.fa
556,OG0001868.fa
557,OG0001869.fa
558,OG0001870.fa
559,OG0001871.fa
560,OG0001872.fa
561,OG0001873.fa
562,OG0001874.fa
563,OG0001875.fa
564,OG0001876.fa
565,OG0001877.fa
566,OG0001878.fa
567,OG0001879.fa
568,OG0001880.fa
569,OG0001881.fa
570,OG0001882.fa
571,OG0001883.fa
572,OG0001884.fa
573,OG0001885.fa
574,OG0001886.fa
575,OG0001887.fa
576,OG0001888.fa
577,OG0001889.fa
578,OG0001890.fa
579,OG0001891.fa
580,OG0001892.fa
581,OG0001893.fa
582,OG0001894.fa
583,OG0001895.fa
584,OG0001896.fa
585,OG0001897.fa
586,OG0001898.fa
587,OG0001899.fa
588,OG0001900.fa
589,OG0001901.fa
590,OG0001902.fa
591,OG0001904.fa
592,OG0001905.fa
593,OG0001906.fa
594,OG0001907.fa
595,OG0001908.fa
596,OG0001909.fa
597,OG0001910.fa
598,OG0001911.fa
599,OG0001912.fa
600,OG0001913.fa
601,OG0001914.fa
602,OG0001915.fa
603,OG0001916.fa
604,OG0001917.fa
605,OG0001918.fa
606,OG0001919.fa
607,OG0001920.fa
608,OG0001921.fa
609,OG0001922.fa
610,OG0001923.fa
611,OG0001924.fa
612,OG0001925.fa
613,OG0001926.fa
614,OG0001927.fa
615,OG0001928.fa
616,OG0001929.fa
617,OG0001930.fa
618,OG0001931.fa
619,OG0001932.fa
620,OG0001933.fa
621,OG0001934.fa
622,OG0001935.fa
623,OG0001936.fa
624,OG0001937.fa
625,OG0001938.fa
626,OG0001939.fa
627,OG0001940.fa
628,OG0001941.fa
629,OG0001942.fa
630,OG0001943.fa
631,OG0001944.fa
632,OG0001945.fa
633,OG0001946.fa
634,OG0001947.fa
635,OG0001948.fa
636,OG0001949.fa
637,OG0001950.fa
638,OG0001951.fa
639,OG0001952.fa
640,OG0001953.fa
641,OG0001954.fa
642,OG0001955.fa
643,OG0001956.fa
644,OG0001957.fa
645,OG0001958.fa
646,OG0001959.fa
647,OG0001960.fa
648,OG0001961.fa
649,OG0001962.fa
650,OG0001963.fa
651,OG0001964.fa
652,OG0001965.fa
653,OG0001966.fa
654,OG0001967.fa
655,OG0001968.fa
656,OG0001969.fa
657,OG0001971.fa
658,OG0001972.fa
659,OG0001973.fa
660,OG0001974.fa
661,OG0001975.fa
662,OG0001977.fa
663,OG0001978.fa
664,OG0001979.fa
665,OG0001980.fa
666,OG0001981.fa
667,OG0001982.fa
668,OG0001983.fa
669,OG0001984.fa
670,OG0001985.fa
671,OG0001986.fa
672,OG0001987.fa
673,OG0001988.fa
674,OG0001989.fa
675,OG0001990.fa
676,OG0001991.fa
677,OG0001992.fa
678,OG0001993.fa
679,OG0001994.fa
680,OG0001995.fa
681,OG0001996.fa
682,OG0001997.fa
683,OG0001998.fa
684,OG0001999.fa
685,OG0002000.fa
686,OG0002001.fa
687,OG0002002.fa
688,OG0002003.fa
689,OG0002004.fa
690,OG0002005.fa
691,OG0002006.fa
692,OG0002007.fa
693,OG0002008.fa
694,OG0002009.fa
695,OG0002010.fa
696,OG0002011.fa
697,OG0002012.fa
698,OG0002013.fa
699,OG0002014.fa
700,OG0002015.fa
701,OG0002016.fa
702,OG0002017.fa
703,OG0002018.fa
704,OG0002019.fa
705,OG0002020.fa
706,OG0002021.fa
707,OG0002022.fa
708,OG0002023.fa
709,OG0002024.fa
710,OG0002025.fa
711,OG0002026.fa
712,OG0002028.fa
713,OG0002029.fa
714,OG0002030.fa
715,OG0002031.fa
716,OG0002032.fa
717,OG0002033.fa
718,OG0002034.fa
719,OG0002035.fa
720,OG0002036.fa
721,OG0002037.fa
722,OG0002038.fa
723,OG0002039.fa
724,OG0002040.fa
725,OG0002041.fa
726,OG0002042.fa
727,OG0002043.fa
728,OG0002044.fa
729,OG0002045.fa
730,OG0002046.fa
731,OG0002047.fa
732,OG0002048.fa
733,OG0002049.fa
734,OG0002050.fa
735,OG0002051.fa
736,OG0002052.fa
737,OG0002053.fa
738,OG0002054.fa
739,OG0002055.fa
740,OG0002056.fa
741,OG0002057.fa
742,OG0002058.fa
743,OG0002059.fa
744,OG0002061.fa
745,OG0002062.fa
746,OG0002063.fa
747,OG0002068.fa
748,OG0002069.fa
749,OG0002070.fa
750,OG0002071.fa
751,OG0002072.fa
752,OG0002073.fa
753,OG0002074.fa
754,OG0002075.fa
755,OG0002076.fa
756,OG0002077.fa
757,OG0002078.fa
758,OG0002079.fa
759,OG0002080.fa
760,OG0002081.fa
761,OG0002082.fa
762,OG0002083.fa
763,OG0002084.fa
764,OG0002085.fa
765,OG0002086.fa
766,OG0002087.fa
767,OG0002089.fa
768,OG0002090.fa
769,OG0002091.fa
770,OG0002092.fa
771,OG0002093.fa
772,OG0002094.fa
773,OG0002095.fa
774,OG0002096.fa
775,OG0002097.fa
776,OG0002098.fa
777,OG0002099.fa
778,OG0002100.fa
779,OG0002101.fa
780,OG0002102.fa
781,OG0002103.fa
782,OG0002104.fa
783,OG0002105.fa
784,OG0002106.fa
785,OG0002107.fa
786,OG0002108.fa
787,OG0002109.fa
788,OG0002110.fa
789,OG0002111.fa
790,OG0002112.fa
791,OG0002113.fa
792,OG0002114.fa
793,OG0002115.fa
794,OG0002116.fa
795,OG0002117.fa
796,OG0002118.fa
797,OG0002119.fa
798,OG0002120.fa
799,OG0002121.fa
800,OG0002122.fa
801,OG0002123.fa
802,OG0002124.fa
803,OG0002125.fa
804,OG0002126.fa
805,OG0002127.fa
806,OG0002128.fa
807,OG0002129.fa
808,OG0002130.fa
809,OG0002131.fa
810,OG0002132.fa
811,OG0002133.fa
812,OG0002134.fa
813,OG0002135.fa
814,OG0002136.fa
815,OG0002137.fa
816,OG0002138.fa
817,OG0002139.fa
818,OG0002140.fa
819,OG0002141.fa
820,OG0002142.fa
821,OG0002143.fa
822,OG0002144.fa
823,OG0002145.fa
824,OG0002146.fa
825,OG0002147.fa
826,OG0002148.fa
827,OG0002149.fa
828,OG0002151.fa
829,OG0002152.fa
830,OG0002153.fa
831,OG0002154.fa
832,OG0002155.fa
833,OG0002156.fa
834,OG0002157.fa
835,OG0002158.fa
836,OG0002159.fa
837,OG0002160.fa
838,OG0002161.fa
839,OG0002163.fa
840,OG0002164.fa
841,OG0002165.fa
842,OG0002166.fa
843,OG0002168.fa
844,OG0002169.fa
845,OG0002170.fa
846,OG0002171.fa
847,OG0002172.fa
848,OG0002173.fa
849,OG0002174.fa
850,OG0002175.fa
851,OG0002176.fa
852,OG0002178.fa
853,OG0002179.fa
854,OG0002180.fa
855,OG0002182.fa
856,OG0002185.fa
857,OG0002186.fa
858,OG0002187.fa
859,OG0002188.fa
860,OG0002189.fa
861,OG0002190.fa
862,OG0002191.fa
863,OG0002192.fa
864,OG0002193.fa
865,OG0002194.fa
866,OG0002195.fa
867,OG0002196.fa
868,OG0002197.fa
869,OG0002198.fa
870,OG0002199.fa
871,OG0002200.fa
872,OG0002201.fa
873,OG0002202.fa
874,OG0002203.fa
875,OG0002204.fa
876,OG0002205.fa
877,OG0002206.fa
878,OG0002207.fa
879,OG0002208.fa
880,OG0002209.fa
881,OG0002210.fa
882,OG0002211.fa
883,OG0002212.fa
884,OG0002213.fa
885,OG0002214.fa
886,OG0002215.fa
887,OG0002216.fa
888,OG0002217.fa
889,OG0002218.fa
890,OG0002219.fa
891,OG0002220.fa
892,OG0002221.fa
893,OG0002223.fa
894,OG0002224.fa
895,OG0002225.fa
896,OG0002226.fa
897,OG0002227.fa
898,OG0002228.fa
899,OG0002229.fa
900,OG0002230.fa
901,OG0002231.fa
902,OG0002232.fa
903,OG0002233.fa
904,OG0002234.fa
905,OG0002235.fa
906,OG0002236.fa
907,OG0002237.fa
908,OG0002238.fa
909,OG0002239.fa
910,OG0002240.fa
911,OG0002242.fa
912,OG0002243.fa
913,OG0002244.fa
914,OG0002245.fa
915,OG0002246.fa
916,OG0002247.fa
917,OG0002248.fa
918,OG0002249.fa
919,OG0002250.fa
920,OG0002251.fa
921,OG0002252.fa
922,OG0002253.fa
923,OG0002255.fa
924,OG0002256.fa
925,OG0002257.fa
926,OG0002258.fa
927,OG0002259.fa
928,OG0002260.fa
929,OG0002261.fa
930,OG0002262.fa
931,OG0002263.fa
932,OG0002264.fa
933,OG0002265.fa
934,OG0002266.fa
935,OG0002267.fa
936,OG0002268.fa
937,OG0002269.fa
938,OG0002270.fa
939,OG0002271.fa
940,OG0002272.fa
941,OG0002273.fa
942,OG0002274.fa
943,OG0002275.fa
944,OG0002276.fa
945,OG0002277.fa
946,OG0002278.fa
947,OG0002279.fa
948,OG0002280.fa
949,OG0002281.fa
950,OG0002282.fa
951,OG0002283.fa
952,OG0002284.fa
953,OG0002285.fa
954,OG0002286.fa
955,OG0002287.fa
956,OG0002288.fa
957,OG0002289.fa
958,OG0002290.fa
959,OG0002291.fa
960,OG0002292.fa
961,OG0002293.fa
962,OG0002294.fa
963,OG0002295.fa
964,OG0002296.fa
965,OG0002297.fa
966,OG0002298.fa
967,OG0002299.fa
968,OG0002300.fa
969,OG0002301.fa
970,OG0002302.fa
971,OG0002303.fa
972,OG0002304.fa
973,OG0002305.fa
974,OG0002306.fa
975,OG0002307.fa
976,OG0002308.fa
977,OG0002309.fa
978,OG0002310.fa
979,OG0002311.fa
980,OG0002312.fa
981,OG0002313.fa
982,OG0002314.fa
983,OG0002315.fa
984,OG0002316.fa
985,OG0002317.fa
986,OG0002318.fa
987,OG0002320.fa
988,OG0002321.fa
989,OG0002322.fa
990,OG0002323.fa
991,OG0002324.fa
992,OG0002325.fa
993,OG0002326.fa
994,OG0002327.fa
995,OG0002328.fa
996,OG0002329.fa
997,OG0002330.fa
998,OG0002331.fa
999,OG0002332.fa
1000,OG0002333.fa
1001,OG0002334.fa
1002,OG0002335.fa
1003,OG0002336.fa
1004,OG0002337.fa
1005,OG0002338.fa
1006,OG0002339.fa
1007,OG0002340.fa
1008,OG0002341.fa
1009,OG0002342.fa
1010,OG0002343.fa
1011,OG0002344.fa
1012,OG0002345.fa
1013,OG0002346.fa
1014,OG0002347.fa
1015,OG0002349.fa
1016,OG0002350.fa
1017,OG0002351.fa
1018,OG0002352.fa
1019,OG0002353.fa
1020,OG0002354.fa
1021,OG0002355.fa
1022,OG0002356.fa
1023,OG0002357.fa
1024,OG0002358.fa
1025,OG0002359.fa
1026,OG0002360.fa
1027,OG0002361.fa
1028,OG0002362.fa
1029,OG0002363.fa
1030,OG0002366.fa
1031,OG0002367.fa
1032,OG0002368.fa
1033,OG0002369.fa
1034,OG0002370.fa
1035,OG0002371.fa
1036,OG0002372.fa
1037,OG0002373.fa
1038,OG0002374.fa
1039,OG0002375.fa
1040,OG0002381.fa
1041,OG0002383.fa
1042,OG0002384.fa
1043,OG0002385.fa
1044,OG0002386.fa
1045,OG0002387.fa
1046,OG0002388.fa
1047,OG0002389.fa
1048,OG0002390.fa
1049,OG0002391.fa
1050,OG0002392.fa
1051,OG0002393.fa
1052,OG0002394.fa
1053,OG0002395.fa
1054,OG0002396.fa
1055,OG0002397.fa
1056,OG0002398.fa
1057,OG0002399.fa
1058,OG0002400.fa
1059,OG0002401.fa
1060,OG0002402.fa
1061,OG0002403.fa
1062,OG0002404.fa
1063,OG0002405.fa
1064,OG0002406.fa
1065,OG0002407.fa
1066,OG0002408.fa
1067,OG0002409.fa
1068,OG0002410.fa
1069,OG0002411.fa
1070,OG0002412.fa
1071,OG0002413.fa
1072,OG0002414.fa
1073,OG0002415.fa
1074,OG0002416.fa
1075,OG0002417.fa
1076,OG0002418.fa
1077,OG0002419.fa
1078,OG0002420.fa
1079,OG0002421.fa
1080,OG0002422.fa
1081,OG0002423.fa
1082,OG0002425.fa
1083,OG0002426.fa
1084,OG0002427.fa
1085,OG0002428.fa
1086,OG0002429.fa
1087,OG0002430.fa
1088,OG0002431.fa
1089,OG0002432.fa
1090,OG0002433.fa
1091,OG0002434.fa
1092,OG0002435.fa
1093,OG0002436.fa
1094,OG0002437.fa
1095,OG0002440.fa
1096,OG0002441.fa
1097,OG0002442.fa
1098,OG0002443.fa
1099,OG0002444.fa
1100,OG0002445.fa
1101,OG0002446.fa
1102,OG0002447.fa
1103,OG0002448.fa
1104,OG0002449.fa
1105,OG0002450.fa
1106,OG0002451.fa
1107,OG0002452.fa
1108,OG0002453.fa
1109,OG0002454.fa
1110,OG0002455.fa
1111,OG0002456.fa
1112,OG0002457.fa
1113,OG0002458.fa
1114,OG0002459.fa
1115,OG0002460.fa
1116,OG0002461.fa
1117,OG0002462.fa
1118,OG0002463.fa
1119,OG0002464.fa
1120,OG0002465.fa
1121,OG0002466.fa
1122,OG0002467.fa
1123,OG0002468.fa
1124,OG0002469.fa
1125,OG0002470.fa
1126,OG0002471.fa
1127,OG0002472.fa
1128,OG0002473.fa
1129,OG0002474.fa
1130,OG0002475.fa
1131,OG0002476.fa
1132,OG0002477.fa
1133,OG0002478.fa
1134,OG0002479.fa
1135,OG0002480.fa
1136,OG0002481.fa
1137,OG0002482.fa
1138,OG0002483.fa
1139,OG0002485.fa
1140,OG0002486.fa
1141,OG0002487.fa
1142,OG0002488.fa
1143,OG0002489.fa
1144,OG0002490.fa
1145,OG0002491.fa
1146,OG0002492.fa
1147,OG0002493.fa
1148,OG0002494.fa
1149,OG0002495.fa
1150,OG0002496.fa
1151,OG0002497.fa
1152,OG0002498.fa
1153,OG0002499.fa
1154,OG0002500.fa
1155,OG0002501.fa
1156,OG0002502.fa
1157,OG0002503.fa
1158,OG0002504.fa
1159,OG0002505.fa
1160,OG0002506.fa
1161,OG0002507.fa
1162,OG0002508.fa
1163,OG0002509.fa
1164,OG0002510.fa
1165,OG0002512.fa
1166,OG0002514.fa
1167,OG0002515.fa
1168,OG0002516.fa
1169,OG0002517.fa
1170,OG0002518.fa
1171,OG0002519.fa
1172,OG0002520.fa
1173,OG0002521.fa
1174,OG0002522.fa
1175,OG0002523.fa
1176,OG0002524.fa
1177,OG0002525.fa
1178,OG0002526.fa
1179,OG0002527.fa
1180,OG0002528.fa
1181,OG0002529.fa
1182,OG0002530.fa
1183,OG0002531.fa
1184,OG0002532.fa
1185,OG0002533.fa
1186,OG0002534.fa
1187,OG0002535.fa
1188,OG0002536.fa
1189,OG0002537.fa
1190,OG0002538.fa
1191,OG0002539.fa
1192,OG0002540.fa
1193,OG0002541.fa
1194,OG0002542.fa
1195,OG0002543.fa
1196,OG0002544.fa
1197,OG0002545.fa
1198,OG0002546.fa
1199,OG0002547.fa
1200,OG0002548.fa
1201,OG0002549.fa
1202,OG0002550.fa
1203,OG0002551.fa
1204,OG0002552.fa
1205,OG0002553.fa
1206,OG0002554.fa
1207,OG0002555.fa
1208,OG0002556.fa
1209,OG0002557.fa
1210,OG0002558.fa
1211,OG0002560.fa
1212,OG0002561.fa
1213,OG0002562.fa
1214,OG0002563.fa
1215,OG0002564.fa
1216,OG0002565.fa
1217,OG0002566.fa
1218,OG0002567.fa
1219,OG0002568.fa
1220,OG0002570.fa
1221,OG0002571.fa
1222,OG0002572.fa
1223,OG0002573.fa
1224,OG0002574.fa
1225,OG0002575.fa
1226,OG0002576.fa
1227,OG0002577.fa
1228,OG0002578.fa
1229,OG0002579.fa
1230,OG0002580.fa
1231,OG0002581.fa
1232,OG0002582.fa
1233,OG0002583.fa
1234,OG0002584.fa
1235,OG0002585.fa
1236,OG0002586.fa
1237,OG0002587.fa
1238,OG0002588.fa
1239,OG0002589.fa
1240,OG0002590.fa
1241,OG0002591.fa
1242,OG0002592.fa
1243,OG0002593.fa
1244,OG0002594.fa
1245,OG0002595.fa
1246,OG0002596.fa
1247,OG0002597.fa
1248,OG0002598.fa
