,orthogroup
1,OG0001274.fa
2,OG0001275.fa
3,OG0001276.fa
4,OG0001277.fa
5,OG0001278.fa
6,OG0001279.fa
7,OG0001280.fa
8,OG0001281.fa
9,OG0001282.fa
10,OG0001283.fa
11,OG0001284.fa
12,OG0001285.fa
13,OG0001286.fa
14,OG0001287.fa
15,OG0001288.fa
16,OG0001289.fa
17,OG0001290.fa
18,OG0001291.fa
19,OG0001292.fa
20,OG0001293.fa
21,OG0001294.fa
22,OG0001295.fa
23,OG0001296.fa
24,OG0001298.fa
25,OG0001299.fa
26,OG0001300.fa
27,OG0001301.fa
28,OG0001302.fa
29,OG0001303.fa
30,OG0001304.fa
31,OG0001305.fa
32,OG0001306.fa
33,OG0001307.fa
34,OG0001308.fa
35,OG0001309.fa
36,OG0001310.fa
37,OG0001311.fa
38,OG0001312.fa
39,OG0001313.fa
40,OG0001314.fa
41,OG0001315.fa
42,OG0001316.fa
43,OG0001317.fa
44,OG0001318.fa
45,OG0001319.fa
46,OG0001320.fa
47,OG0001321.fa
48,OG0001322.fa
49,OG0001323.fa
50,OG0001324.fa
51,OG0001325.fa
52,OG0001326.fa
53,OG0001327.fa
54,OG0001328.fa
55,OG0001329.fa
56,OG0001330.fa
57,OG0001331.fa
58,OG0001332.fa
59,OG0001333.fa
60,OG0001334.fa
61,OG0001336.fa
62,OG0001337.fa
63,OG0001338.fa
64,OG0001339.fa
65,OG0001340.fa
66,OG0001341.fa
67,OG0001342.fa
68,OG0001343.fa
69,OG0001344.fa
70,OG0001345.fa
71,OG0001346.fa
72,OG0001347.fa
73,OG0001348.fa
74,OG0001349.fa
75,OG0001350.fa
76,OG0001351.fa
77,OG0001352.fa
78,OG0001353.fa
79,OG0001354.fa
80,OG0001356.fa
81,OG0001357.fa
82,OG0001358.fa
83,OG0001359.fa
84,OG0001360.fa
85,OG0001361.fa
86,OG0001362.fa
87,OG0001363.fa
88,OG0001364.fa
89,OG0001365.fa
90,OG0001366.fa
91,OG0001367.fa
92,OG0001368.fa
93,OG0001369.fa
94,OG0001370.fa
95,OG0001371.fa
96,OG0001372.fa
97,OG0001373.fa
98,OG0001374.fa
99,OG0001375.fa
100,OG0001376.fa
101,OG0001377.fa
102,OG0001378.fa
103,OG0001379.fa
104,OG0001380.fa
105,OG0001381.fa
106,OG0001382.fa
107,OG0001383.fa
108,OG0001384.fa
109,OG0001385.fa
110,OG0001386.fa
111,OG0001387.fa
112,OG0001388.fa
113,OG0001389.fa
114,OG0001390.fa
115,OG0001391.fa
116,OG0001392.fa
117,OG0001393.fa
118,OG0001394.fa
119,OG0001395.fa
120,OG0001396.fa
121,OG0001397.fa
122,OG0001398.fa
123,OG0001399.fa
124,OG0001400.fa
125,OG0001401.fa
126,OG0001402.fa
127,OG0001403.fa
128,OG0001404.fa
129,OG0001405.fa
130,OG0001406.fa
131,OG0001407.fa
132,OG0001408.fa
133,OG0001409.fa
134,OG0001410.fa
135,OG0001412.fa
136,OG0001413.fa
137,OG0001414.fa
138,OG0001415.fa
139,OG0001416.fa
140,OG0001417.fa
141,OG0001418.fa
142,OG0001419.fa
143,OG0001420.fa
144,OG0001421.fa
145,OG0001422.fa
146,OG0001423.fa
147,OG0001424.fa
148,OG0001425.fa
149,OG0001426.fa
150,OG0001427.fa
151,OG0001428.fa
152,OG0001429.fa
153,OG0001430.fa
154,OG0001431.fa
155,OG0001432.fa
156,OG0001433.fa
157,OG0001434.fa
158,OG0001435.fa
159,OG0001436.fa
160,OG0001437.fa
161,OG0001438.fa
162,OG0001439.fa
163,OG0001441.fa
164,OG0001442.fa
165,OG0001443.fa
166,OG0001444.fa
167,OG0001445.fa
168,OG0001446.fa
169,OG0001447.fa
170,OG0001448.fa
171,OG0001449.fa
172,OG0001450.fa
173,OG0001451.fa
174,OG0001452.fa
175,OG0001453.fa
176,OG0001454.fa
177,OG0001455.fa
178,OG0001456.fa
179,OG0001457.fa
180,OG0001458.fa
181,OG0001459.fa
182,OG0001460.fa
183,OG0001461.fa
184,OG0001462.fa
185,OG0001464.fa
186,OG0001465.fa
187,OG0001466.fa
188,OG0001467.fa
189,OG0001468.fa
190,OG0001469.fa
191,OG0001470.fa
192,OG0001471.fa
193,OG0001472.fa
194,OG0001473.fa
195,OG0001474.fa
196,OG0001475.fa
197,OG0001476.fa
198,OG0001477.fa
199,OG0001478.fa
200,OG0001479.fa
201,OG0001480.fa
202,OG0001481.fa
203,OG0001482.fa
204,OG0001483.fa
205,OG0001484.fa
206,OG0001485.fa
207,OG0001486.fa
208,OG0001487.fa
209,OG0001488.fa
210,OG0001489.fa
211,OG0001490.fa
212,OG0001491.fa
213,OG0001492.fa
214,OG0001493.fa
215,OG0001494.fa
216,OG0001495.fa
217,OG0001496.fa
218,OG0001497.fa
219,OG0001498.fa
220,OG0001499.fa
221,OG0001500.fa
222,OG0001501.fa
223,OG0001502.fa
224,OG0001503.fa
225,OG0001504.fa
226,OG0001505.fa
227,OG0001506.fa
228,OG0001507.fa
229,OG0001508.fa
230,OG0001509.fa
231,OG0001510.fa
232,OG0001511.fa
233,OG0001512.fa
234,OG0001513.fa
235,OG0001514.fa
236,OG0001515.fa
237,OG0001516.fa
238,OG0001518.fa
239,OG0001519.fa
240,OG0001520.fa
241,OG0001521.fa
242,OG0001522.fa
243,OG0001523.fa
244,OG0001524.fa
245,OG0001525.fa
246,OG0001526.fa
247,OG0001527.fa
248,OG0001528.fa
249,OG0001529.fa
250,OG0001530.fa
251,OG0001531.fa
252,OG0001532.fa
253,OG0001533.fa
254,OG0001534.fa
255,OG0001535.fa
256,OG0001536.fa
257,OG0001537.fa
258,OG0001538.fa
259,OG0001539.fa
260,OG0001540.fa
261,OG0001541.fa
262,OG0001542.fa
263,OG0001543.fa
264,OG0001544.fa
265,OG0001545.fa
266,OG0001546.fa
267,OG0001547.fa
268,OG0001548.fa
269,OG0001549.fa
270,OG0001550.fa
271,OG0001551.fa
272,OG0001552.fa
273,OG0001553.fa
274,OG0001554.fa
275,OG0001555.fa
276,OG0001556.fa
277,OG0001557.fa
278,OG0001558.fa
279,OG0001559.fa
280,OG0001560.fa
281,OG0001561.fa
282,OG0001562.fa
283,OG0001563.fa
284,OG0001564.fa
285,OG0001565.fa
286,OG0001566.fa
287,OG0001567.fa
288,OG0001568.fa
289,OG0001570.fa
290,OG0001571.fa
291,OG0001572.fa
292,OG0001573.fa
293,OG0001574.fa
294,OG0001576.fa
295,OG0001577.fa
296,OG0001578.fa
297,OG0001579.fa
298,OG0001580.fa
299,OG0001581.fa
300,OG0001582.fa
301,OG0001583.fa
302,OG0001584.fa
303,OG0001585.fa
304,OG0001586.fa
305,OG0001587.fa
306,OG0001589.fa
307,OG0001590.fa
308,OG0001591.fa
309,OG0001592.fa
310,OG0001593.fa
311,OG0001594.fa
312,OG0001595.fa
313,OG0001596.fa
314,OG0001597.fa
315,OG0001598.fa
316,OG0001599.fa
317,OG0001600.fa
318,OG0001601.fa
319,OG0001602.fa
320,OG0001603.fa
321,OG0001604.fa
322,OG0001605.fa
323,OG0001606.fa
324,OG0001607.fa
325,OG0001608.fa
326,OG0001609.fa
327,OG0001610.fa
328,OG0001611.fa
329,OG0001612.fa
330,OG0001613.fa
331,OG0001614.fa
332,OG0001615.fa
333,OG0001616.fa
334,OG0001617.fa
335,OG0001618.fa
336,OG0001619.fa
337,OG0001620.fa
338,OG0001621.fa
339,OG0001622.fa
340,OG0001624.fa
341,OG0001625.fa
342,OG0001626.fa
343,OG0001627.fa
344,OG0001628.fa
345,OG0001629.fa
346,OG0001630.fa
347,OG0001631.fa
348,OG0001632.fa
349,OG0001633.fa
350,OG0001634.fa
351,OG0001635.fa
352,OG0001636.fa
353,OG0001637.fa
354,OG0001638.fa
355,OG0001639.fa
356,OG0001640.fa
357,OG0001641.fa
358,OG0001642.fa
359,OG0001643.fa
360,OG0001644.fa
361,OG0001645.fa
362,OG0001646.fa
363,OG0001647.fa
364,OG0001648.fa
365,OG0001651.fa
366,OG0001653.fa
367,OG0001655.fa
368,OG0001656.fa
369,OG0001657.fa
370,OG0001658.fa
371,OG0001659.fa
372,OG0001660.fa
373,OG0001661.fa
374,OG0001663.fa
375,OG0001664.fa
376,OG0001665.fa
377,OG0001666.fa
378,OG0001668.fa
379,OG0001669.fa
380,OG0001670.fa
381,OG0001671.fa
382,OG0001672.fa
383,OG0001673.fa
384,OG0001674.fa
385,OG0001675.fa
